,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,삼천당제약,000250,KR7000250001,0,114200,61600,87900,00001,87900,2,01,N,
1,중앙에너비스,000440,KR7000440008,0,22800,12280,17540,00001,17540,2,01,N,
2,신라섬유,001000,KR7001000009,0,2475,1334,1905,00001,1905,2,01,N,
3,안국약품,001540,KR7001540004,0,9900,5340,7620,00001,7620,2,01,N,
4,무림SP,001810,KR7001810001,0,2605,1405,2005,00001,2005,2,01,N,
5,이화공영,001840,KR7001840008,0,4975,2685,3830,00001,3830,2,01,N,
6,피에스텍,002230,KR7002230001,0,5340,2885,4115,00001,4115,2,01,N,
7,삼일기업공사,002290,KR7002290005,0,4860,2620,3740,00001,3740,2,01,N,
8,한탑,002680,KR7002680007,0,1950,1050,1500,00001,1500,2,01,N,
9,신신제약,002800,KR7002800001,0,6460,3480,4970,00001,4970,2,01,N,
10,선광,003100,KR7003100005,0,25200,13580,19400,00001,19400,2,01,N,
11,대주산업,003310,KR7003310000,0,2510,1354,1934,00001,1934,2,01,N,
12,하림지주,003380,KR7003380003,0,9410,5070,7240,00001,7240,2,01,N,
13,에이스침대,003800,KR7003800000,0,33600,18100,25850,00001,25850,2,01,N,
14,한국가구,004590,KR7004590006,0,5590,3010,4300,00001,4300,2,01,N,
15,창해에탄올,004650,KR7004650008,0,13100,7060,10080,00001,10080,2,01,N,
16,대륙제관,004780,KR7004780003,0,5430,2930,4180,00001,4180,2,01,N,
17,동국산업,005160,KR7005160007,0,7430,4010,5720,00001,5720,2,01,N,
18,동진쎄미켐,005290,KR7005290002,0,44300,23900,34100,00001,34100,2,01,N,
19,푸드웰,005670,KR7005670005,0,6740,3640,5190,00001,5190,2,01,N,
20,대원산업,005710,KR7005710009,0,7240,3900,5570,00001,5570,2,01,N,
21,한일사료,005860,KR7005860002,0,6860,3700,5280,00001,5280,2,01,N,
22,매일홀딩스,005990,KR7005990007,0,10810,5830,8320,00001,8320,2,01,N,
23,국영지앤엠,006050,KR7006050009,0,1990,1072,1531,00001,1531,2,01,N,
24,피제이전자,006140,KR7006140008,0,8060,4340,6200,00001,6200,2,01,N,
25,대양제지,006580,KR7006580005,0,4235,2285,3260,00001,3260,2,01,N,
26,동구바이오제약,006620,KR7006620009,0,6920,3740,5330,00001,5330,2,01,N,
27,서부T&D,006730,KR7006730006,0,12800,6900,9850,00001,9850,2,01,N,
28,보성파워텍,006910,KR7006910004,0,4370,2360,3365,00001,3365,2,01,N,
29,모헨즈,006920,KR7006920003,0,5570,3000,4285,00001,4285,2,01,N,
30,푸른저축은행,007330,KR7007330004,0,11710,6310,9010,00001,9010,2,01,N,
31,진양제약,007370,KR7007370000,0,7700,4160,5930,00001,5930,2,01,N,
32,네이처셀,007390,KR7007390008,0,10020,5400,7710,00001,7710,2,01,N,
33,와이엠,007530,KR7007530009,0,4355,2345,3350,00001,3350,2,01,N,
34,대원,007680,KR7007680002,0,7800,4200,6000,00001,6000,2,01,N,
35,대명소노시즌,007720,KR7007720006,0,860,464,662,00001,662,2,01,N,
36,한일화학,007770,KR7007770001,0,27100,14600,20850,00001,20850,2,01,N,
