,종목명,단축코드,확장코드,기초자산코드
826,KCC        F 202506,1D3W6000,KR41D3W60002,A002380
827,KCC        F 202512,1D3WC000,KR41D3WC0003,A002380
828,GS리테일   F 202309,1D4T9000,KR41D4T90003,A007070
829,GS리테일   F 202310,1D4TA000,KR41D4TA0009,A007070
830,GS리테일   F 202311,1D4TB000,KR41D4TB0008,A007070
831,GS리테일   F 202312,1D4TC000,KR41D4TC0007,A007070
832,GS리테일   F 202403,1D4V3000,KR41D4V30005,A007070
833,GS리테일   F 202406,1D4V6000,KR41D4V60002,A007070
834,GS리테일   F 202412,1D4VC000,KR41D4VC0003,A007070
835,GS리테일   F 202506,1D4W6000,KR41D4W60000,A007070
836,GS리테일   F 202512,1D4WC000,KR41D4WC0002,A007070
837,에스원     F 202309,1D5T9000,KR41D5T90000,A012750
838,에스원     F 202310,1D5TA000,KR41D5TA0008,A012750
839,에스원     F 202311,1D5TB000,KR41D5TB0007,A012750
840,에스원     F 202312,1D5TC000,KR41D5TC0006,A012750
841,에스원     F 202403,1D5V3000,KR41D5V30002,A012750
842,에스원     F 202406,1D5V6000,KR41D5V60009,A012750
843,에스원     F 202412,1D5VC000,KR41D5VC0002,A012750
844,에스원     F 202506,1D5W6000,KR41D5W60007,A012750
845,에스원     F 202512,1D5WC000,KR41D5WC0001,A012750
846,유한양행   F 202309,1D6T9000,KR41D6T90008,A000100
847,유한양행   F 202310,1D6TA000,KR41D6TA0007,A000100
848,유한양행   F 202311,1D6TB000,KR41D6TB0006,A000100
849,유한양행   F 202312,1D6TC000,KR41D6TC0005,A000100
850,유한양행   F 202403,1D6V3000,KR41D6V30000,A000100
851,유한양행   F 202406,1D6V6000,KR41D6V60007,A000100
852,유한양행   F 202412,1D6VC000,KR41D6VC0001,A000100
853,유한양행   F 202506,1D6W6000,KR41D6W60005,A000100
854,유한양행   F 202512,1D6WC000,KR41D6WC0000,A000100
855,한전KPS    F 202309,1D7T9000,KR41D7T90006,A051600
856,한전KPS    F 202310,1D7TA000,KR41D7TA0006,A051600
857,한전KPS    F 202311,1D7TB000,KR41D7TB0005,A051600
858,한전KPS    F 202312,1D7TC000,KR41D7TC0004,A051600
859,한전KPS    F 202403,1D7V3000,KR41D7V30008,A051600
860,한전KPS    F 202406,1D7V6000,KR41D7V60005,A051600
861,한전KPS    F 202412,1D7VC000,KR41D7VC0000,A051600
862,한전KPS    F 202506,1D7W6000,KR41D7W60003,A051600
863,한전KPS    F 202512,1D7WC000,KR41D7WC0009,A051600
864,현대백화점 F 202309,1D8T9000,KR41D8T90004,A069960
865,현대백화점 F 202310,1D8TA000,KR41D8TA0005,A069960
866,현대백화점 F 202311,1D8TB000,KR41D8TB0004,A069960
867,현대백화점 F 202312,1D8TC000,KR41D8TC0003,A069960
868,현대백화점 F 202403,1D8V3000,KR41D8V30006,A069960
869,현대백화점 F 202406,1D8V6000,KR41D8V60003,A069960
870,현대백화점 F 202412,1D8VC000,KR41D8VC0009,A069960
871,현대백화점 F 202506,1D8W6000,KR41D8W60001,A069960
872,현대백화점 F 202512,1D8WC000,KR41D8WC0008,A069960
873,CJ CGV     F 202309,1D9T9000,KR41D9T90002,A079160
874,CJ CGV     F 202312,1D9TC000,KR41D9TC0002,A079160
875,CJ CGV     F 202403,1D9V3000,KR41D9V30004,A079160
876,CJ CGV     F 202406,1D9V6000,KR41D9V60001,A079160
877,CJ CGV     F 202412,1D9VC000,KR41D9VC0008,A079160
878,CJ CGV     F 202506,1D9W6000,KR41D9W60009,A079160
879,CJ CGV     F 202512,1D9WC000,KR41D9WC0007,A079160
880,농심       F 202309,1DAT9000,KR41DAT90007,A004370
881,농심       F 202310,1DATA000,KR41DATA0004,A004370
882,농심       F 202311,1DATB000,KR41DATB0003,A004370
883,농심       F 202312,1DATC000,KR41DATC0002,A004370
884,농심       F 202403,1DAV3000,KR41DAV30009,A004370
885,농심       F 202406,1DAV6000,KR41DAV60006,A004370
886,농심       F 202412,1DAVC000,KR41DAVC0008,A004370
887,농심       F 202506,1DAW6000,KR41DAW60004,A004370
888,농심       F 202512,1DAWC000,KR41DAWC0007,A004370
889,LIG넥스원  F 202309,1DBT9000,KR41DBT90005,A079550
890,LIG넥스원  F 202310,1DBTA000,KR41DBTA0003,A079550
891,LIG넥스원  F 202311,1DBTB000,KR41DBTB0002,A079550
892,LIG넥스원  F 202312,1DBTC000,KR41DBTC0001,A079550
893,LIG넥스원  F 202403,1DBV3000,KR41DBV30007,A079550
894,LIG넥스원  F 202406,1DBV6000,KR41DBV60004,A079550
895,LIG넥스원  F 202412,1DBVC000,KR41DBVC0007,A079550
896,LIG넥스원  F 202506,1DBW6000,KR41DBW60002,A079550
897,LIG넥스원  F 202512,1DBWC000,KR41DBWC0006,A079550
898,HL만도     F 202309,1DCT9000,KR41DCT90003,A204320
899,HL만도     F 202310,1DCTA000,KR41DCTA0002,A204320
900,HL만도     F 202311,1DCTB000,KR41DCTB0001,A204320
901,HL만도     F 202312,1DCTC000,KR41DCTC0000,A204320
902,HL만도     F 202403,1DCV3000,KR41DCV30005,A204320
903,HL만도     F 202406,1DCV6000,KR41DCV60002,A204320
904,HL만도     F 202412,1DCVC000,KR41DCVC0006,A204320
905,HL만도     F 202506,1DCW6000,KR41DCW60000,A204320
906,HL만도     F 202512,1DCWC000,KR41DCWC0005,A204320
907,신세계     F 202309,1DDT9000,KR41DDT90001,A004170
908,신세계     F 202310,1DDTA000,KR41DDTA0001,A004170
909,신세계     F 202311,1DDTB000,KR41DDTB0000,A004170
910,신세계     F 202312,1DDTC000,KR41DDTC0009,A004170
911,신세계     F 202403,1DDV3000,KR41DDV30003,A004170
912,신세계     F 202406,1DDV6000,KR41DDV60000,A004170
913,신세계     F 202412,1DDVC000,KR41DDVC0005,A004170
914,신세계     F 202506,1DDW6000,KR41DDW60008,A004170
915,신세계     F 202512,1DDWC000,KR41DDWC0004,A004170
916,한국콜마   F 202309,1DET9000,KR41DET90009,A161890
917,한국콜마   F 202310,1DETA000,KR41DETA0000,A161890
918,한국콜마   F 202311,1DETB000,KR41DETB0009,A161890
919,한국콜마   F 202312,1DETC000,KR41DETC0008,A161890
920,한국콜마   F 202403,1DEV3000,KR41DEV30001,A161890
921,한국콜마   F 202406,1DEV6000,KR41DEV60008,A161890
922,한국콜마   F 202412,1DEVC000,KR41DEVC0004,A161890
923,한국콜마   F 202506,1DEW6000,KR41DEW60006,A161890
924,한국콜마   F 202512,1DEWC000,KR41DEWC0003,A161890
925,영원무역   F 202309,1DGT9000,KR41DGT90004,A111770
926,영원무역   F 202310,1DGTA000,KR41DGTA0008,A111770
927,영원무역   F 202311,1DGTB000,KR41DGTB0007,A111770
928,영원무역   F 202312,1DGTC000,KR41DGTC0006,A111770
929,영원무역   F 202403,1DGV3000,KR41DGV30006,A111770
930,영원무역   F 202406,1DGV6000,KR41DGV60003,A111770
931,영원무역   F 202412,1DGVC000,KR41DGVC0002,A111770
932,영원무역   F 202506,1DGW6000,KR41DGW60001,A111770
933,영원무역   F 202512,1DGWC000,KR41DGWC0001,A111770
934,대한유화   F 202309,1DJT9000,KR41DJT90008,A006650
935,대한유화   F 202310,1DJTA000,KR41DJTA0005,A006650
936,대한유화   F 202311,1DJTB000,KR41DJTB0004,A006650
937,대한유화   F 202312,1DJTC000,KR41DJTC0003,A006650
938,대한유화   F 202403,1DJV3000,KR41DJV30000,A006650
939,대한유화   F 202406,1DJV6000,KR41DJV60007,A006650
940,대한유화   F 202412,1DJVC000,KR41DJVC0009,A006650
941,대한유화   F 202506,1DJW6000,KR41DJW60005,A006650
942,대한유화   F 202512,1DJWC000,KR41DJWC0008,A006650
943,코스맥스   F 202309,1DKT9000,KR41DKT90006,A192820
944,코스맥스   F 202310,1DKTA000,KR41DKTA0002,A192820
945,코스맥스   F 202311,1DKTB000,KR41DKTB0001,A192820
946,코스맥스   F 202312,1DKTC000,KR41DKTC0000,A192820
947,코스맥스   F 202403,1DKV3000,KR41DKV30008,A192820
948,코스맥스   F 202406,1DKV6000,KR41DKV60005,A192820
949,코스맥스   F 202412,1DKVC000,KR41DKVC0006,A192820
950,코스맥스   F 202506,1DKW6000,KR41DKW60003,A192820
951,코스맥스   F 202512,1DKWC000,KR41DKWC0005,A192820
952,하나투어   F 202309,1DNT9000,KR41DNT90000,A039130
953,하나투어   F 202310,1DNTA000,KR41DNTA0009,A039130
954,하나투어   F 202311,1DNTB000,KR41DNTB0008,A039130
955,하나투어   F 202312,1DNTC000,KR41DNTC0007,A039130
956,하나투어   F 202403,1DNV3000,KR41DNV30002,A039130
957,하나투어   F 202406,1DNV6000,KR41DNV60009,A039130
958,하나투어   F 202412,1DNVC000,KR41DNVC0003,A039130
959,하나투어   F 202506,1DNW6000,KR41DNW60007,A039130
960,하나투어   F 202512,1DNWC000,KR41DNWC0002,A039130
961,메디톡스   F 202309,1DPT9000,KR41DPT90005,A086900
962,메디톡스   F 202310,1DPTA000,KR41DPTA0007,A086900
963,메디톡스   F 202311,1DPTB000,KR41DPTB0006,A086900
964,메디톡스   F 202312,1DPTC000,KR41DPTC0005,A086900
965,메디톡스   F 202403,1DPV3000,KR41DPV30007,A086900
966,메디톡스   F 202406,1DPV6000,KR41DPV60004,A086900
967,메디톡스   F 202412,1DPVC000,KR41DPVC0001,A086900
968,메디톡스   F 202506,1DPW6000,KR41DPW60002,A086900
969,메디톡스   F 202512,1DPWC000,KR41DPWC0000,A086900
970,컴투스     F 202309,1DRT9000,KR41DRT90001,A078340
971,컴투스     F 202310,1DRTA000,KR41DRTA0005,A078340
972,컴투스     F 202311,1DRTB000,KR41DRTB0004,A078340
973,컴투스     F 202312,1DRTC000,KR41DRTC0003,A078340
974,컴투스     F 202403,1DRV3000,KR41DRV30003,A078340
975,컴투스     F 202406,1DRV6000,KR41DRV60000,A078340
976,컴투스     F 202412,1DRVC000,KR41DRVC0009,A078340
977,컴투스     F 202506,1DRW6000,KR41DRW60008,A078340
978,컴투스     F 202512,1DRWC000,KR41DRWC0008,A078340
979,CJ ENM     F 202309,1DTT9000,KR41DTT90007,A035760
980,CJ ENM     F 202310,1DTTA000,KR41DTTA0003,A035760
981,CJ ENM     F 202311,1DTTB000,KR41DTTB0002,A035760
982,CJ ENM     F 202312,1DTTC000,KR41DTTC0001,A035760
983,CJ ENM     F 202403,1DTV3000,KR41DTV30009,A035760
984,CJ ENM     F 202406,1DTV6000,KR41DTV60006,A035760
985,CJ ENM     F 202412,1DTVC000,KR41DTVC0007,A035760
986,CJ ENM     F 202506,1DTW6000,KR41DTW60004,A035760
987,CJ ENM     F 202512,1DTWC000,KR41DTWC0006,A035760
988,에스에프에 F 202309,1DVT9000,KR41DVT90003,A056190
989,에스에프에 F 202310,1DVTA000,KR41DVTA0009,A056190
990,에스에프에 F 202311,1DVTB000,KR41DVTB0008,A056190
991,에스에프에 F 202312,1DVTC000,KR41DVTC0007,A056190
992,에스에프에 F 202403,1DVV3000,KR41DVV30005,A056190
993,에스에프에 F 202406,1DVV6000,KR41DVV60002,A056190
994,에스에프에 F 202412,1DVVC000,KR41DVVC0003,A056190
995,에스에프에 F 202506,1DVW6000,KR41DVW60000,A056190
996,에스에프에 F 202512,1DVWC000,KR41DVWC0002,A056190
997,두산밥캣   F 202309,1DWT9000,KR41DWT90001,A241560
998,두산밥캣   F 202310,1DWTA000,KR41DWTA0008,A241560
999,두산밥캣   F 202311,1DWTB000,KR41DWTB0007,A241560
1000,두산밥캣   F 202312,1DWTC000,KR41DWTC0006,A241560
1001,두산밥캣   F 202403,1DWV3000,KR41DWV30003,A241560
1002,두산밥캣   F 202406,1DWV6000,KR41DWV60000,A241560
1003,두산밥캣   F 202412,1DWVC000,KR41DWVC0002,A241560
1004,두산밥캣   F 202506,1DWW6000,KR41DWW60008,A241560
1005,두산밥캣   F 202512,1DWWC000,KR41DWWC0001,A241560
1006,현대엘리베 F 202309,1DYT9000,KR41DYT90007,A017800
1007,현대엘리베 F 202310,1DYTA000,KR41DYTA0006,A017800
1008,현대엘리베 F 202311,1DYTB000,KR41DYTB0005,A017800
1009,현대엘리베 F 202312,1DYTC000,KR41DYTC0004,A017800
1010,현대엘리베 F 202403,1DYV3000,KR41DYV30009,A017800
1011,현대엘리베 F 202406,1DYV6000,KR41DYV60006,A017800
1012,현대엘리베 F 202412,1DYVC000,KR41DYVC0000,A017800
1013,현대엘리베 F 202506,1DYW6000,KR41DYW60004,A017800
1014,현대엘리베 F 202512,1DYWC000,KR41DYWC0009,A017800
1015,한세실업   F 202309,1DZT9000,KR41DZT90004,A105630
1016,한세실업   F 202310,1DZTA000,KR41DZTA0005,A105630
1017,한세실업   F 202311,1DZTB000,KR41DZTB0004,A105630
1018,한세실업   F 202312,1DZTC000,KR41DZTC0003,A105630
1019,한세실업   F 202403,1DZV3000,KR41DZV30006,A105630
1020,한세실업   F 202406,1DZV6000,KR41DZV60003,A105630
1021,한세실업   F 202412,1DZVC000,KR41DZVC0009,A105630
1022,한세실업   F 202506,1DZW6000,KR41DZW60001,A105630
1023,한세실업   F 202512,1DZWC000,KR41DZWC0008,A105630
1024,원익IPS    F 202309,1E0T9000,KR41E0T90000,A240810
1025,원익IPS    F 202310,1E0TA000,KR41E0TA0001,A240810
1026,원익IPS    F 202311,1E0TB000,KR41E0TB0000,A240810
1027,원익IPS    F 202312,1E0TC000,KR41E0TC0009,A240810
1028,원익IPS    F 202403,1E0V3000,KR41E0V30002,A240810
1029,원익IPS    F 202406,1E0V6000,KR41E0V60009,A240810
1030,원익IPS    F 202412,1E0VC000,KR41E0VC0005,A240810
1031,원익IPS    F 202506,1E0W6000,KR41E0W60007,A240810
1032,원익IPS    F 202512,1E0WC000,KR41E0WC0004,A240810
1033,안랩       F 202309,1E2T9000,KR41E2T90006,A053800
1034,안랩       F 202310,1E2TA000,KR41E2TA0009,A053800
1035,안랩       F 202311,1E2TB000,KR41E2TB0008,A053800
1036,안랩       F 202312,1E2TC000,KR41E2TC0007,A053800
1037,안랩       F 202403,1E2V3000,KR41E2V30008,A053800
1038,안랩       F 202406,1E2V6000,KR41E2V60005,A053800
1039,안랩       F 202412,1E2VC000,KR41E2VC0003,A053800
1040,안랩       F 202506,1E2W6000,KR41E2W60003,A053800
1041,안랩       F 202512,1E2WC000,KR41E2WC0002,A053800
1042,파트론     F 202309,1E3T9000,KR41E3T90004,A091700
1043,파트론     F 202310,1E3TA000,KR41E3TA0008,A091700
1044,파트론     F 202311,1E3TB000,KR41E3TB0007,A091700
1045,파트론     F 202312,1E3TC000,KR41E3TC0006,A091700
1046,파트론     F 202403,1E3V3000,KR41E3V30006,A091700
1047,파트론     F 202406,1E3V6000,KR41E3V60003,A091700
1048,파트론     F 202412,1E3VC000,KR41E3VC0002,A091700
1049,파트론     F 202506,1E3W6000,KR41E3W60001,A091700
1050,파트론     F 202512,1E3WC000,KR41E3WC0001,A091700
1051,에스엠     F 202309,1E4T9000,KR41E4T90002,A041510
1052,에스엠     F 202310,1E4TA000,KR41E4TA0007,A041510
1053,에스엠     F 202311,1E4TB000,KR41E4TB0006,A041510
1054,에스엠     F 202312,1E4TC000,KR41E4TC0005,A041510
1055,에스엠     F 202403,1E4V3000,KR41E4V30004,A041510
1056,에스엠     F 202406,1E4V6000,KR41E4V60001,A041510
1057,에스엠     F 202412,1E4VC000,KR41E4VC0001,A041510
1058,에스엠     F 202506,1E4W6000,KR41E4W60009,A041510
1059,에스엠     F 202512,1E4WC000,KR41E4WC0000,A041510
1060,넷마블     F 202309,1E5T9000,KR41E5T90009,A251270
1061,넷마블     F 202310,1E5TA000,KR41E5TA0006,A251270
1062,넷마블     F 202311,1E5TB000,KR41E5TB0005,A251270
1063,넷마블     F 202312,1E5TC000,KR41E5TC0004,A251270
1064,넷마블     F 202403,1E5V3000,KR41E5V30001,A251270
1065,넷마블     F 202406,1E5V6000,KR41E5V60008,A251270
1066,넷마블     F 202412,1E5VC000,KR41E5VC0000,A251270
1067,넷마블     F 202506,1E5W6000,KR41E5W60006,A251270
1068,넷마블     F 202512,1E5WC000,KR41E5WC0009,A251270
1069,셀트리온헬 F 202309,1E6T9000,KR41E6T90007,A091990
1070,셀트리온헬 F 202310,1E6TA000,KR41E6TA0005,A091990
1071,셀트리온헬 F 202311,1E6TB000,KR41E6TB0004,A091990
1072,셀트리온헬 F 202312,1E6TC000,KR41E6TC0003,A091990
1073,셀트리온헬 F 202403,1E6V3000,KR41E6V30009,A091990
1074,셀트리온헬 F 202406,1E6V6000,KR41E6V60006,A091990
1075,셀트리온헬 F 202412,1E6VC000,KR41E6VC0009,A091990
1076,셀트리온헬 F 202506,1E6W6000,KR41E6W60004,A091990
1077,셀트리온헬 F 202512,1E6WC000,KR41E6WC0008,A091990
1078,포스코퓨처 F 202309,1E8T9000,KR41E8T90003,A003670
1079,포스코퓨처 F 202310,1E8TA000,KR41E8TA0003,A003670
1080,포스코퓨처 F 202311,1E8TB000,KR41E8TB0002,A003670
1081,포스코퓨처 F 202312,1E8TC000,KR41E8TC0001,A003670
1082,포스코퓨처 F 202403,1E8V3000,KR41E8V30005,A003670
1083,포스코퓨처 F 202406,1E8V6000,KR41E8V60002,A003670
1084,포스코퓨처 F 202412,1E8VC000,KR41E8VC0007,A003670
1085,포스코퓨처 F 202506,1E8W6000,KR41E8W60000,A003670
1086,포스코퓨처 F 202512,1E8WC000,KR41E8WC0006,A003670
1087,PI첨단소재 F 202309,1EAT9000,KR41EAT90005,A178920
1088,PI첨단소재 F 202310,1EATA000,KR41EATA0003,A178920
1089,PI첨단소재 F 202311,1EATB000,KR41EATB0002,A178920
1090,PI첨단소재 F 202312,1EATC000,KR41EATC0001,A178920
1091,PI첨단소재 F 202403,1EAV3000,KR41EAV30007,A178920
1092,PI첨단소재 F 202406,1EAV6000,KR41EAV60004,A178920
1093,PI첨단소재 F 202412,1EAVC000,KR41EAVC0007,A178920
1094,PI첨단소재 F 202506,1EAW6000,KR41EAW60002,A178920
1095,PI첨단소재 F 202512,1EAWC000,KR41EAWC0006,A178920
1096,우리금융지 F 202309,1EBT9000,KR41EBT90003,A316140
1097,우리금융지 F 202310,1EBTA000,KR41EBTA0002,A316140
1098,우리금융지 F 202311,1EBTB000,KR41EBTB0001,A316140
1099,우리금융지 F 202312,1EBTC000,KR41EBTC0000,A316140
1100,우리금융지 F 202403,1EBV3000,KR41EBV30005,A316140
1101,우리금융지 F 202406,1EBV6000,KR41EBV60002,A316140
1102,우리금융지 F 202412,1EBVC000,KR41EBVC0006,A316140
1103,우리금융지 F 202506,1EBW6000,KR41EBW60000,A316140
1104,우리금융지 F 202512,1EBWC000,KR41EBWC0005,A316140
1105,HDC 현대산 F 202309,1ECT9000,KR41ECT90001,A294870
1106,HDC 현대산 F 202310,1ECTA000,KR41ECTA0001,A294870
1107,HDC 현대산 F 202311,1ECTB000,KR41ECTB0000,A294870
1108,HDC 현대산 F 202312,1ECTC000,KR41ECTC0009,A294870
1109,HDC 현대산 F 202403,1ECV3000,KR41ECV30003,A294870
1110,HDC 현대산 F 202406,1ECV6000,KR41ECV60000,A294870
1111,HDC 현대산 F 202412,1ECVC000,KR41ECVC0005,A294870
1112,HDC 현대산 F 202506,1ECW6000,KR41ECW60008,A294870
1113,HDC 현대산 F 202512,1ECWC000,KR41ECWC0004,A294870
1114,롯데에너지 F 202309,1EDT9000,KR41EDT90009,A020150
1115,롯데에너지 F 202310,1EDTA000,KR41EDTA0000,A020150
1116,롯데에너지 F 202311,1EDTB000,KR41EDTB0009,A020150
1117,롯데에너지 F 202312,1EDTC000,KR41EDTC0008,A020150
1118,롯데에너지 F 202403,1EDV3000,KR41EDV30001,A020150
1119,롯데에너지 F 202406,1EDV6000,KR41EDV60008,A020150
1120,롯데에너지 F 202412,1EDVC000,KR41EDVC0004,A020150
1121,롯데에너지 F 202506,1EDW6000,KR41EDW60006,A020150
1122,롯데에너지 F 202512,1EDWC000,KR41EDWC0003,A020150
1123,한올바이오 F 202309,1EET9000,KR41EET90007,A009420
1124,한올바이오 F 202310,1EETA000,KR41EETA0009,A009420
1125,한올바이오 F 202311,1EETB000,KR41EETB0008,A009420
1126,한올바이오 F 202312,1EETC000,KR41EETC0007,A009420
1127,한올바이오 F 202403,1EEV3000,KR41EEV30009,A009420
1128,한올바이오 F 202406,1EEV6000,KR41EEV60006,A009420
1129,한올바이오 F 202412,1EEVC000,KR41EEVC0003,A009420
1130,한올바이오 F 202506,1EEW6000,KR41EEW60004,A009420
1131,한올바이오 F 202512,1EEWC000,KR41EEWC0002,A009420
1132,JYP Ent.   F 202309,1EFT9000,KR41EFT90004,A035900
1133,JYP Ent.   F 202310,1EFTA000,KR41EFTA0008,A035900
1134,JYP Ent.   F 202311,1EFTB000,KR41EFTB0007,A035900
1135,JYP Ent.   F 202312,1EFTC000,KR41EFTC0006,A035900
1136,JYP Ent.   F 202403,1EFV3000,KR41EFV30006,A035900
1137,JYP Ent.   F 202406,1EFV6000,KR41EFV60003,A035900
1138,JYP Ent.   F 202412,1EFVC000,KR41EFVC0002,A035900
1139,JYP Ent.   F 202506,1EFW6000,KR41EFW60001,A035900
1140,JYP Ent.   F 202512,1EFWC000,KR41EFWC0001,A035900
1141,쌍용C&E    F 202309,1EGT9000,KR41EGT90002,A003410
1142,쌍용C&E    F 202310,1EGTA000,KR41EGTA0007,A003410
1143,쌍용C&E    F 202311,1EGTB000,KR41EGTB0006,A003410
1144,쌍용C&E    F 202312,1EGTC000,KR41EGTC0005,A003410
1145,쌍용C&E    F 202403,1EGV3000,KR41EGV30004,A003410
1146,쌍용C&E    F 202406,1EGV6000,KR41EGV60001,A003410
1147,쌍용C&E    F 202412,1EGVC000,KR41EGVC0001,A003410
1148,쌍용C&E    F 202506,1EGW6000,KR41EGW60009,A003410
1149,쌍용C&E    F 202512,1EGWC000,KR41EGWC0000,A003410
1150,팬오션     F 202309,1EHT9000,KR41EHT90000,A028670
1151,팬오션     F 202310,1EHTA000,KR41EHTA0006,A028670
1152,팬오션     F 202311,1EHTB000,KR41EHTB0005,A028670
1153,팬오션     F 202312,1EHTC000,KR41EHTC0004,A028670
1154,팬오션     F 202403,1EHV3000,KR41EHV30002,A028670
1155,팬오션     F 202406,1EHV6000,KR41EHV60009,A028670
1156,팬오션     F 202412,1EHVC000,KR41EHVC0000,A028670
1157,팬오션     F 202506,1EHW6000,KR41EHW60007,A028670
1158,팬오션     F 202512,1EHWC000,KR41EHWC0009,A028670
1159,SKC        F 202309,1EJT9000,KR41EJT90006,A011790
1160,SKC        F 202310,1EJTA000,KR41EJTA0004,A011790
1161,SKC        F 202311,1EJTB000,KR41EJTB0003,A011790
1162,SKC        F 202312,1EJTC000,KR41EJTC0002,A011790
1163,SKC        F 202403,1EJV3000,KR41EJV30008,A011790
1164,SKC        F 202406,1EJV6000,KR41EJV60005,A011790
1165,SKC        F 202412,1EJVC000,KR41EJVC0008,A011790
1166,SKC        F 202506,1EJW6000,KR41EJW60003,A011790
1167,SKC        F 202512,1EJWC000,KR41EJWC0007,A011790
1168,DB하이텍   F 202309,1EKT9000,KR41EKT90004,A000990
1169,DB하이텍   F 202310,1EKTA000,KR41EKTA0001,A000990
1170,DB하이텍   F 202311,1EKTB000,KR41EKTB0000,A000990
1171,DB하이텍   F 202312,1EKTC000,KR41EKTC0009,A000990
1172,DB하이텍   F 202403,1EKV3000,KR41EKV30006,A000990
1173,DB하이텍   F 202406,1EKV6000,KR41EKV60003,A000990
1174,DB하이텍   F 202412,1EKVC000,KR41EKVC0005,A000990
1175,DB하이텍   F 202506,1EKW6000,KR41EKW60001,A000990
1176,DB하이텍   F 202512,1EKWC000,KR41EKWC0004,A000990
1177,후성       F 202309,1ELT9000,KR41ELT90002,A093370
1178,후성       F 202310,1ELTA000,KR41ELTA0000,A093370
1179,후성       F 202311,1ELTB000,KR41ELTB0009,A093370
1180,후성       F 202312,1ELTC000,KR41ELTC0008,A093370
1181,후성       F 202403,1ELV3000,KR41ELV30004,A093370
1182,후성       F 202406,1ELV6000,KR41ELV60001,A093370
1183,후성       F 202412,1ELVC000,KR41ELVC0004,A093370
1184,후성       F 202506,1ELW6000,KR41ELW60009,A093370
1185,후성       F 202512,1ELWC000,KR41ELWC0003,A093370
1186,RFHIC      F 202309,1EMT9000,KR41EMT90000,A218410
1187,RFHIC      F 202310,1EMTA000,KR41EMTA0009,A218410
1188,RFHIC      F 202311,1EMTB000,KR41EMTB0008,A218410
1189,RFHIC      F 202312,1EMTC000,KR41EMTC0007,A218410
1190,RFHIC      F 202403,1EMV3000,KR41EMV30002,A218410
1191,RFHIC      F 202406,1EMV6000,KR41EMV60009,A218410
1192,RFHIC      F 202412,1EMVC000,KR41EMVC0003,A218410
1193,RFHIC      F 202506,1EMW6000,KR41EMW60007,A218410
1194,RFHIC      F 202512,1EMWC000,KR41EMWC0002,A218410
1195,동진쎄미켐 F 202309,1ENT9000,KR41ENT90008,A005290
1196,동진쎄미켐 F 202310,1ENTA000,KR41ENTA0008,A005290
1197,동진쎄미켐 F 202311,1ENTB000,KR41ENTB0007,A005290
1198,동진쎄미켐 F 202312,1ENTC000,KR41ENTC0006,A005290
1199,동진쎄미켐 F 202403,1ENV3000,KR41ENV30000,A005290
1200,동진쎄미켐 F 202406,1ENV6000,KR41ENV60007,A005290
1201,동진쎄미켐 F 202412,1ENVC000,KR41ENVC0002,A005290
1202,동진쎄미켐 F 202506,1ENW6000,KR41ENW60005,A005290
1203,동진쎄미켐 F 202512,1ENWC000,KR41ENWC0001,A005290
1204,비에이치   F 202309,1EQT9000,KR41EQT90001,A090460
1205,비에이치   F 202310,1EQTA000,KR41EQTA0005,A090460
1206,비에이치   F 202311,1EQTB000,KR41EQTB0004,A090460
1207,비에이치   F 202312,1EQTC000,KR41EQTC0003,A090460
1208,비에이치   F 202403,1EQV3000,KR41EQV30003,A090460
1209,비에이치   F 202406,1EQV6000,KR41EQV60000,A090460
1210,비에이치   F 202412,1EQVC000,KR41EQVC0009,A090460
1211,비에이치   F 202506,1EQW6000,KR41EQW60008,A090460
1212,비에이치   F 202512,1EQWC000,KR41EQWC0008,A090460
1213,DL이앤씨   F 202309,1ERT9000,KR41ERT90009,A375500
1214,DL이앤씨   F 202310,1ERTA000,KR41ERTA0004,A375500
1215,DL이앤씨   F 202311,1ERTB000,KR41ERTB0003,A375500
1216,DL이앤씨   F 202312,1ERTC000,KR41ERTC0002,A375500
1217,DL이앤씨   F 202403,1ERV3000,KR41ERV30001,A375500
1218,DL이앤씨   F 202406,1ERV6000,KR41ERV60008,A375500
1219,DL이앤씨   F 202412,1ERVC000,KR41ERVC0008,A375500
1220,DL이앤씨   F 202506,1ERW6000,KR41ERW60006,A375500
1221,DL이앤씨   F 202512,1ERWC000,KR41ERWC0007,A375500
1222,삼성바이오 F 202309,1EST9000,KR41EST90007,A207940
1223,삼성바이오 F 202310,1ESTA000,KR41ESTA0003,A207940
1224,삼성바이오 F 202311,1ESTB000,KR41ESTB0002,A207940
1225,삼성바이오 F 202312,1ESTC000,KR41ESTC0001,A207940
1226,삼성바이오 F 202403,1ESV3000,KR41ESV30009,A207940
1227,삼성바이오 F 202406,1ESV6000,KR41ESV60006,A207940
1228,삼성바이오 F 202412,1ESVC000,KR41ESVC0007,A207940
1229,삼성바이오 F 202506,1ESW6000,KR41ESW60004,A207940
1230,삼성바이오 F 202512,1ESWC000,KR41ESWC0006,A207940
1231,삼성엔지니 F 202309,1ETT9000,KR41ETT90005,A028050
1232,삼성엔지니 F 202310,1ETTA000,KR41ETTA0002,A028050
1233,삼성엔지니 F 202311,1ETTB000,KR41ETTB0001,A028050
1234,삼성엔지니 F 202312,1ETTC000,KR41ETTC0000,A028050
1235,삼성엔지니 F 202403,1ETV3000,KR41ETV30007,A028050
