,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
1378,엔바이오니아,317870,KR7317870004,0,22900,12350,17640,00001,17640,2,01,N,
1379,KBG,318000,KR7318000007,0,15570,8390,11980,00001,11980,2,01,N,
1380,팜스빌,318010,KR7318010006,0,11570,6230,8900,00001,8900,2,01,N,
1381,포인트모바일,318020,KR7318020005,0,23500,12670,18100,00001,18100,2,01,N,
1382,셀바이오휴먼텍,318160,KR7318160009,0,6530,3530,5030,00001,5030,2,01,N,
1383,비비씨,318410,KR7318410008,0,12640,6820,9730,00001,9730,2,01,N,
1384,현대무벡스,319400,KR7319400008,0,4780,2580,3680,00001,3680,2,01,N,
1385,피에스케이,319660,KR7319660007,0,26100,14100,20100,00001,20100,2,01,N,
1386,윈텍,320000,KR7320000003,0,3915,2115,3015,00001,3015,2,01,N,
1387,프로이천,321260,KR7321260002,0,5130,2765,3950,00001,3950,2,01,N,
1388,센서뷰,321370,KR7321370009,0,6100,3290,4695,00001,4695,2,01,N,
1389,티움바이오,321550,KR7321550006,0,9470,5110,7290,00001,7290,2,01,N,
1390,와이더플래닛,321820,KR7321820003,0,5590,3015,4305,00001,4305,2,01,N,
1391,티라유텍,322180,KR7322180001,0,16090,8670,12380,00001,12380,2,01,N,
1392,오로스테크놀로지,322310,KR7322310004,0,31300,16900,24100,00001,24100,2,01,N,
1393,제이엘케이,322510,KR7322510009,0,42100,22700,32400,00001,32400,2,01,N,
1394,코퍼스코리아,322780,KR7322780008,0,3195,1725,2460,00001,2460,2,01,N,
1395,엠에프엠코리아,323230,KR7323230003,0,1760,948,1354,00001,1354,2,01,N,
1396,태성,323280,KR7323280008,0,4280,2310,3295,00001,3295,2,01,N,
1397,박셀바이오,323990,KR7323990002,0,56100,30250,43200,00001,43200,2,01,N,
1398,RF머트리얼즈,327260,KR7327260006,0,14410,7770,11090,00001,11090,2,01,N,
1399,루닛,328130,KR7328130000,0,217000,117200,167300,00001,167300,2,01,N,
1400,솔트웨어,328380,KR7328380001,0,1846,994,1420,00001,1420,2,01,N,
1401,위더스제약,330350,KR7330350000,0,9600,5180,7390,00001,7390,2,01,N,
1402,스톤브릿지벤처스,330730,KR7330730003,0,5160,2785,3975,00001,3975,2,01,N,
1403,네패스아크,330860,KR7330860008,0,31450,16950,24200,00001,24200,2,01,N,
1404,포커스에이치엔에스,331380,KR7331380006,0,3405,1835,2620,00001,2620,2,01,N,
1405,밸로프,331520,KR7331520007,0,1485,801,1143,00001,1143,2,01,N,
1406,셀레믹스,331920,KR7331920009,0,5800,3130,4465,00001,4465,2,01,N,
1407,누보,332290,KR7332290006,0,2575,1387,1981,00001,1981,2,01,N,
1408,아이디피,332370,KR7332370006,0,4665,2515,3590,00001,3590,2,01,N,
1409,와이팜,332570,KR7332570001,0,4930,2660,3795,00001,3795,2,01,N,
1410,모코엠시스,333050,KR7333050003,0,1957,1055,1506,00001,1506,2,01,N,
1411,일승,333430,KR7333430007,0,4690,2530,3610,00001,3610,2,01,N,
1412,엔시스,333620,KR7333620003,0,16610,8950,12780,00001,12780,2,01,N,
1413,프레스티지바이오로직,334970,KR7334970001,0,6090,3280,4685,00001,4685,2,01,N,
1414,프리시젼바이오,335810,KR7335810008,0,8500,4580,6540,00001,6540,2,01,N,
1415,윙스풋,335870,KR7335870002,0,2470,1332,1902,00001,1902,2,01,N,
1416,비올,335890,KR7335890000,0,9770,5270,7520,00001,7520,2,01,N,
