,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,삼천당제약,000250,KR7000250001,0,121100,65300,93200,00001,93200,2,01,N,
1,중앙에너비스,000440,KR7000440008,0,23500,12660,18080,00001,18080,2,01,N,
2,신라섬유,001000,KR7001000009,0,2425,1308,1868,00001,1868,2,01,N,
3,안국약품,001540,KR7001540004,0,9770,5270,7520,00001,7520,2,01,N,
4,무림SP,001810,KR7001810001,0,2635,1425,2030,00001,2030,2,01,N,
5,이화공영,001840,KR7001840008,0,5210,2815,4015,00001,4015,2,01,N,
6,피에스텍,002230,KR7002230001,0,5490,2960,4225,00001,4225,2,01,N,
7,삼일기업공사,002290,KR7002290005,0,4885,2635,3760,00001,3760,2,01,N,
8,한탑,002680,KR7002680007,0,1892,1020,1456,00001,1456,2,01,N,
9,신신제약,002800,KR7002800001,0,6270,3385,4830,00001,4830,2,01,N,
10,선광,003100,KR7003100005,0,25300,13640,19480,00001,19480,2,01,N,
11,대주산업,003310,KR7003310000,0,2460,1327,1895,00001,1895,2,01,N,
12,하림지주,003380,KR7003380003,0,9210,4970,7090,00001,7090,2,01,N,
13,에이스침대,003800,KR7003800000,0,33450,18050,25750,00001,25750,2,01,N,
14,한국가구,004590,KR7004590006,0,5550,2995,4275,00001,4275,2,01,N,
15,창해에탄올,004650,KR7004650008,0,13020,7020,10020,00001,10020,2,01,N,
16,대륙제관,004780,KR7004780003,0,5390,2905,4150,00001,4150,2,01,N,
17,동국산업,005160,KR7005160007,0,7410,3990,5700,00001,5700,2,01,N,
18,동진쎄미켐,005290,KR7005290002,0,45950,24750,35350,00001,35350,2,01,N,
19,푸드웰,005670,KR7005670005,0,6490,3500,4995,00001,4995,2,01,N,
20,대원산업,005710,KR7005710009,0,7180,3880,5530,00001,5530,2,01,N,
21,한일사료,005860,KR7005860002,0,6740,3640,5190,00001,5190,2,01,N,
22,매일홀딩스,005990,KR7005990007,0,10670,5750,8210,00001,8210,2,01,N,
23,국영지앤엠,006050,KR7006050009,0,1943,1047,1495,00001,1495,2,01,N,
24,피제이전자,006140,KR7006140008,0,9420,5080,7250,00001,7250,2,01,N,
25,대양제지,006580,KR7006580005,0,4235,2285,3260,00001,3260,2,01,N,
26,동구바이오제약,006620,KR7006620009,0,6980,3760,5370,00001,5370,2,01,N,
27,서부T&D,006730,KR7006730006,0,11600,6260,8930,00001,8930,2,01,N,
28,보성파워텍,006910,KR7006910004,0,4275,2305,3290,00001,3290,2,01,N,
29,모헨즈,006920,KR7006920003,0,5790,3125,4460,00001,4460,2,01,N,
30,푸른저축은행,007330,KR7007330004,0,11640,6280,8960,00001,8960,2,01,N,
31,진양제약,007370,KR7007370000,0,7590,4090,5840,00001,5840,2,01,N,
32,네이처셀,007390,KR7007390008,0,9390,5070,7230,00001,7230,2,01,N,
33,와이엠,007530,KR7007530009,0,4405,2375,3390,00001,3390,2,01,N,
34,대원,007680,KR7007680002,0,7780,4200,5990,00001,5990,2,01,N,
35,대명소노시즌,007720,KR7007720006,0,860,464,662,00001,662,2,01,N,
36,한일화학,007770,KR7007770001,0,26450,14250,20350,00001,20350,2,01,N,
37,에스엠코어,007820,KR7007820004,0,8250,4450,6350,00001,6350,2,01,N,
38,원풍물산,008290,KR7008290009,0,1193,643,918,00001,918,2,01,N,
39,원풍,008370,KR7008370009,0,5240,2825,4035,00001,4035,2,01,N,
40,부스타,008470,KR7008470007,0,6170,3325,4750,00001,4750,2,01,N,
41,대동기어,008830,KR7008830002,0,9340,5040,7190,00001,7190,2,01,N,
42,삼아제약,009300,KR7009300005,0,21550,11610,16580,00001,16580,2,01,N,
43,포스코엠텍,009520,KR7009520008,0,44950,24250,34600,00001,34600,2,01,N,
44,삼보산업,009620,KR7009620006,0,1319,711,1015,00001,1015,2,01,N,
45,코센,009730,KR7009730003,0,6260,3375,4820,00001,4820,2,01,N,
46,엠에스씨,009780,KR7009780008,0,7670,4130,5900,00001,5900,2,01,N,
47,대한광통신,010170,KR7010170009,0,2295,1237,1767,00001,1767,2,01,N,
48,흥국,010240,KR7010240000,0,8120,4380,6250,00001,6250,2,01,N,
49,쌍용정보통신,010280,KR7010280006,0,1073,579,826,00001,826,2,01,N,
50,오리콤,010470,KR7010470003,0,18030,9710,13870,00001,13870,2,01,N,
51,경동제약,011040,KR7011040003,0,8710,4690,6700,00001,6700,2,01,N,
52,형지I&C,011080,KR7011080009,0,1398,754,1076,00001,1076,2,01,N,
53,유니크,011320,KR7011320009,0,6810,3670,5240,00001,5240,2,01,N,
54,서한,011370,KR7011370004,0,1296,698,997,00001,997,2,01,N,
55,세보엠이씨,011560,KR7011560000,0,11080,5980,8530,00001,8530,2,01,N,
56,뉴인텍,012340,KR7012340006,0,1817,979,1398,00001,1398,2,01,N,
57,원일특강,012620,KR7012620001,0,11680,6300,8990,00001,8990,2,01,N,
58,리드코프,012700,KR7012700001,0,7680,4140,5910,00001,5910,2,01,N,
59,신일제약,012790,KR7012790002,0,9150,4930,7040,00001,7040,2,01,N,
60,모베이스전자,012860,KR7012860003,0,3150,1700,2425,00001,2425,2,01,N,
61,하이록코리아,013030,KR7013030002,0,35450,19150,27300,00001,27300,2,01,N,
62,동원개발,013120,KR7013120001,0,4455,2405,3430,00001,3430,2,01,N,
63,아진산업,013310,KR7013310008,0,5770,3115,4445,00001,4445,2,01,N,
64,CBI,013720,KR7013720008,0,2410,1299,1855,00001,1855,2,01,N,
65,스페코,013810,KR7013810007,0,5080,2740,3910,00001,3910,2,01,N,
66,아가방컴퍼니,013990,KR7013990007,0,4445,2395,3420,00001,3420,2,01,N,
67,메디앙스,014100,KR7014100002,0,4085,2205,3145,00001,3145,2,01,N,
68,원익큐브,014190,KR7014190003,0,2205,1189,1698,00001,1698,2,01,N,
69,광림,014200,KR7014200000,0,1307,705,1006,00001,1006,2,01,N,
70,부방,014470,KR7014470009,0,3990,2150,3070,00001,3070,2,01,N,
71,고려제약,014570,KR7014570006,0,8730,4710,6720,00001,6720,2,01,N,
72,성광벤드,014620,KR7014620009,0,20300,10950,15630,00001,15630,2,01,N,
73,오리엔탈정공,014940,KR7014940001,0,4355,2345,3350,00001,3350,2,01,N,
74,삼륭물산,014970,KR7014970008,0,4790,2580,3685,00001,3685,2,01,N,
75,코콤,015710,KR7015710007,0,6630,3570,5100,00001,5100,2,01,N,
76,성우하이텍,015750,KR7015750003,0,12810,6910,9860,00001,9860,2,01,N,
77,리더스코스메틱,016100,KR7016100000,0,3950,2130,3040,00001,3040,2,01,N,
78,SGC이테크건설,016250,KR7016250003,0,27750,14950,21350,00001,21350,2,01,N,
79,큐캐피탈,016600,KR7016600009,0,477,257,367,00001,367,2,01,N,
80,디모아,016670,KR7016670002,0,483,261,372,00001,372,2,01,N,
81,카나리아바이오,016790,KR7016790008,0,6530,3530,5030,00001,5030,2,01,N,
82,카스,016920,KR7016920001,0,1898,1022,1460,00001,1460,2,01,N,
83,신원종합개발,017000,KR7017000001,0,5730,3090,4410,00001,4410,2,01,N,
84,인터엠,017250,KR7017250002,0,2070,1116,1593,00001,1593,2,01,N,
85,삼현철강,017480,KR7017480005,0,6380,3445,4915,00001,4915,2,01,N,
86,세명전기,017510,KR7017510009,0,3785,2045,2915,00001,2915,2,01,N,
87,대림제지,017650,KR7017650003,0,11210,6050,8630,00001,8630,2,01,N,
88,한국알콜,017890,KR7017890005,0,15100,8140,11620,00001,11620,2,01,N,
89,유니슨,018000,KR7018000000,0,2005,1083,1546,00001,1546,2,01,N,
90,진로발효,018120,KR7018120006,0,19520,10520,15020,00001,15020,2,01,N,
91,브이티,018290,KR7018290007,0,19420,10460,14940,00001,14940,2,01,N,
92,삼목에스폼,018310,KR7018310003,0,23150,12490,17830,00001,17830,2,01,N,
93,우진비앤지,018620,KR7018620005,0,1716,924,1320,00001,1320,2,01,N,
94,서울제약,018680,KR7018680009,0,4900,2640,3770,00001,3770,2,01,N,
95,바른손,018700,KR7018700005,0,2445,1318,1882,00001,1882,2,01,N,
96,베뉴지,019010,KR7019010008,0,2775,1495,2135,00001,2135,2,01,N,
97,와이지-원,019210,KR7019210004,0,7280,3920,5600,00001,5600,2,01,N,
98,일지테크,019540,KR7019540004,0,6790,3670,5230,00001,5230,2,01,N,
99,SBI인베스트먼트,019550,KR7019550003,0,1157,623,890,00001,890,2,01,N,
100,리더스 기술투자,019570,KR7019570001,0,1318,710,1014,00001,1014,2,01,N,
101,엠벤처투자,019590,KR7019590009,0,1531,825,1178,00001,1178,2,01,N,
102,글로본,019660,KR7019660000,0,3065,1655,2360,00001,2360,2,01,N,
103,서연탑메탈,019770,KR7019770007,0,5210,2815,4015,00001,4015,2,01,N,
104,에너토크,019990,KR7019990001,0,9230,4970,7100,00001,7100,2,01,N,
105,대신정보통신,020180,KR7020180006,0,1509,813,1161,00001,1161,2,01,N,
106,대동금속,020400,KR7020400008,0,13000,7000,10000,00001,10000,2,01,N,
107,시공테크,020710,KR7020710000,0,6810,3670,5240,00001,5240,2,01,N,
108,대호특수강,021040,KR7021040001,0,6600,3560,5080,00001,5080,2,01,N,
109,대호특수강우,021045,KR7021041009,0,11440,6160,8800,00001,8800,2,01,N,
110,에이티넘인베스트,021080,KR7021080007,0,3590,1940,2765,00001,2765,2,01,N,
111,KCC건설,021320,KR7021320007,0,6510,3510,5010,00001,5010,2,01,N,
112,한국큐빅,021650,KR7021650007,0,3995,2155,3075,00001,3075,2,01,N,
113,메이슨캐피탈,021880,KR7021880000,0,397,215,306,00001,306,2,01,N,
114,포스코DX,022100,KR7022100002,0,75600,40800,58200,00001,58200,2,01,N,
115,TKG애강,022220,KR7022220008,0,1609,867,1238,00001,1238,2,01,N,
116,태광,023160,KR7023160005,0,25700,13860,19800,00001,19800,2,01,N,
117,유진기업,023410,KR7023410004,0,4730,2550,3640,00001,3640,2,01,N,
118,제이스코홀딩스,023440,KR7023440001,0,3330,1800,2565,00001,2565,2,01,N,
119,CNH,023460,KR7023460009,0,2600,1400,2000,00001,2000,2,01,N,
